title,genre,poster_url,popularity ,rating
Captain America: Civil War,Action,https://upload.wikimedia.org/wikipedia/en/5/53/Captain_America_Civil_War_poster.jpg,95,8.3
Doctor Strange,Action,https://upload.wikimedia.org/wikipedia/en/a/a1/Doctor_Strange_%282016_film%29_poster.jpg,93,8.2
Black Panther,Action,https://upload.wikimedia.org/wikipedia/en/d/d6/Black_Panther_%28film%29_poster.jpg,91,8.1
Joker,Drama,https://upload.wikimedia.org/wikipedia/en/e/e1/Joker_%282019_film%29_poster.jpg,88,7.8
1917,Drama,https://upload.wikimedia.org/wikipedia/en/f/fe/1917_%282019%29_Film_Poster.jpeg,94,8.4
The Shawshank Redemption,Drama,https://upload.wikimedia.org/wikipedia/en/8/81/ShawshankRedemptionMoviePoster.jpg,85,7.9
Forrest Gump,Drama,https://upload.wikimedia.org/wikipedia/en/6/67/Forrest_Gump_poster.jpg,86,8.1
The Godfather,Drama,https://upload.wikimedia.org/wikipedia/en/a/af/The_Godfather%2C_The_Game.jpg,87,8.3
Pulp Fiction,Drama,https://m.media-amazon.com/images/I/71c05lTE03L._AC_SY679_.jpg,79,7.6
The Social Network,Drama,https://upload.wikimedia.org/wikipedia/en/8/8c/The_Social_Network_film_poster.png,80,8
The Imitation Game,Drama,https://upload.wikimedia.org/wikipedia/en/8/87/The_Imitation_Game_%282014%29.png,83,8.2
The Theory of Everything,Drama,https://upload.wikimedia.org/wikipedia/en/6/67/The_Theory_of_Everything_%282014%29.jpg,81,7.9
A Beautiful Mind,Drama,https://upload.wikimedia.org/wikipedia/en/b/b8/A_Beautiful_Mind_Poster.jpg,82,7.8
The Pursuit of Happyness,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/Poster-pursuithappyness.jpg/250px-Poster-pursuithappyness.jpg,77,7.6
La La Land,Drama,https://upload.wikimedia.org/wikipedia/en/a/ab/La_La_Land_%28film%29.png,76,7.5
Me Before You,Romance,https://upload.wikimedia.org/wikipedia/en/f/fd/Me_Before_You_%28film%29.jpg,84,8
The Notebook,Romance,https://m.media-amazon.com/images/M/MV5BZjE0ZjgzMzYtMTAxYi00NGMzLThmZDktNzFlMzA2MWRmYWQ0XkEyXkFqcGc@._V1_.jpg,90,8.4
Titanic,Romance,https://upload.wikimedia.org/wikipedia/en/1/18/Titanic_%281997_film%29_poster.png,82,7.8
Twilight,Romance,https://upload.wikimedia.org/wikipedia/en/b/b6/Twilight_%282008_film%29_poster.jpg,86,8
The Fault in Our Stars,Romance,https://upload.wikimedia.org/wikipedia/en/4/41/The_Fault_in_Our_Stars_%28Official_Film_Poster%29.png,88,8.3
Crazy Rich Asians,Romance,https://upload.wikimedia.org/wikipedia/en/b/ba/Crazy_Rich_Asians_poster.png,89,8.2
To All the Boys I’ve Loved Before,Romance,https://upload.wikimedia.org/wikipedia/en/b/b8/To_All_the_Boys_I%27ve_Loved_Before_poster.jpg,87,8.1
A Walk to Remember,Romance,https://upload.wikimedia.org/wikipedia/en/d/dc/A_Walk_to_Remember_Poster.jpg,80,7.7
The Vow,Romance,https://upload.wikimedia.org/wikipedia/vi/c/c2/The_Vow_Poster.jpg,78,7.8
The Kissing Booth,Romance,https://upload.wikimedia.org/wikipedia/en/c/c8/The_Kissing_Booth_2_poster.jpg,75,7.5
"Love, Rosie",Romance,https://i.pinimg.com/736x/db/cd/49/dbcd49d9a860bd55c99c957954784823.jpg,90,8.2
Notting Hill,Romance,https://image.tmdb.org/t/p/original/hHRIf2XHeQMbyRb3HUx19SF5Ujw.jpg,91,8.6
500 Days of Summer,Romance,https://m.media-amazon.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_.jpg,89,8.3
Eternal Sunshine of the Spotless Mind,Romance,https://static0.colliderimages.com/wordpress/wp-content/uploads/sharedimages/2024/04/eternal-sunshine-of-the-spotless-mind-movie-poster.jpg,88,7.9
Silver Linings Playbook,Romance,https://upload.wikimedia.org/wikipedia/en/9/9a/Silver_Linings_Playbook_Poster.jpg,86,7.8
